brand;model;car_model;price_chf;mileage;engine_power_hp;power_mode;production_date;consumption_l_per_100km;transmission;listing_url
BMW;X6M;BMW X6M Competition (CH) FACELIFT INDIVIDUAL;129900.0;9749.0;626.0;Benzin;12.024;;Automat;https://www.autoscout24.ch/de/d/bmw-x6m-competition-ch-facelift-individual-12861564
BMW;X3;BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display;52900.0;12505.0;190.0;Diesel;62.024;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48-20d-m-sport-individual-acc-head-up-display-12861562
BMW;X7;BMW X7 xDrive 48V M60i M Sport Pro (CH) INDIVIDUAL;114900.0;21500.0;530.0;Benzin;82.023;;Automat;https://www.autoscout24.ch/de/d/bmw-x7-xdrive-48v-m60i-m-sport-pro-ch-individual-12861561
VW;Golf 2.0;VW Golf 2.0 TDI R-Line Aut.;36900.0;10.0;150.0;Diesel;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/vw-golf-20-tdi-r-line-aut-12861537
BMW;X3;BMW X3 xDrive 48V 30d M Sport;54900.0;16390.0;285.0;Diesel;72.024;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48v-30d-m-sport-12859088
Alfa Romeo;Tonale 1.5;ALFA ROMEO Tonale 1.5 48V Hybrid Ti Edition;27900.0;6350.0;161.0;Benzin;42.024;;Halbautomatik;https://www.autoscout24.ch/de/d/alfa-romeo-tonale-15-48v-hybrid-ti-edition-12859028
VW;Touareg 3.0;VW Touareg 3.0 TSIe Hybrid Atmosphere 4x4;49900.0;41000.0;381.0;Benzin;62.023;;Automat;https://www.autoscout24.ch/de/d/vw-touareg-30-tsie-hybrid-atmosphere-4x4-12858038
BMW;X3;BMW X3 xDrive 30i Aut. FACELIFT;49900.0;34500.0;245.0;Benzin;52.022;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-30i-aut-facelift-12859094
BMW;M850i;BMW M850i xDrive 4x4 Individual;64900.0;27900.0;530.0;Benzin;72.019;;Automat;https://www.autoscout24.ch/de/d/bmw-m850i-xdrive-4x4-individual-12853888
Mercedes-Benz;S 63;MERCEDES-BENZ S 63 AMG 4Matic FACELIFT ST Carbon (CH);125900.0;42900.0;612.0;Benzin;32.020;11.4;Halbautomatik;https://www.autoscout24.ch/de/d/mercedes-benz-s-63-amg-4matic-facelift-st-carbon-ch-12853887
BMW;X3;BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display;52900.0;13610.0;190.0;Diesel;62.024;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48v-20d-m-sport-individual-acc-head-up-display-12851020
BMW;M850i;BMW M850i xDrive (CH) Individual Carbon;69900.0;24499.0;530.0;Benzin;72.021;;Automat;https://www.autoscout24.ch/de/d/bmw-m850i-xdrive-ch-individual-carbon-12851019
Mercedes-Benz;GLE 63;MERCEDES-BENZ GLE 63 S AMG 4matic+ / Panorama / HeadUp / Burmester;85780.0;61500.0;612.0;Benzin;122.021;12.8;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-gle-63-s-amg-4matic-panorama-headup-burmester-12849896
FERRARI;296;FERRARI 296 GTB (CH);259900.0;1590.0;830.0;Benzin;32.025;;Halbautomatik;https://www.autoscout24.ch/de/d/ferrari-296-gtb-ch-12851015
BMW;X3;BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display;49900.0;19899.0;190.0;Diesel;42.024;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48-20d-m-sport-individual-acc-head-up-display-12846095
Citroen;C4;CITROEN C4 HEV You FACELIFT Aut.;24900.0;10.0;136.0;Benzin;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/citroen-c4-hev-you-facelift-aut-12846094
VW;Golf 2.0;VW Golf 2.0 TDI R-Line Aut. Panoramadach;37900.0;10.0;150.0;Diesel;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/vw-golf-20-tdi-r-line-aut-panoramadach-12850069
Mercedes-Benz;S 400;MERCEDES-BENZ S 400 d L AMG Line 9G-Tronic *MAYBACH 1 of 1*Nardo Grau*;104880.0;46000.0;330.0;Diesel;62.023;;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-s-400-d-l-amg-line-9g-tronic-maybach-1-of-1-nardo-grau-12850421
Mercedes-Benz;GLC 43;MERCEDES-BENZ GLC 43 AMG Executive Edition 4matic Coupé/ Panorama / Burmester / 360°Kamera;84900.0;19950.0;421.0;Benzin;82.024;9.6;Automat;https://www.autoscout24.ch/de/d/mercedes-benz-glc-43-amg-executive-edition-4matic-coupe-panorama-burmester-360-kamera-12839571
BMW;X3;BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display;52900.0;10570.0;190.0;Diesel;62.024;;Automat;https://www.autoscout24.ch/de/d/bmw-x3-xdrive-48-20d-m-sport-individual-acc-head-up-display-12850071
