car_model,price_chf,mileage,engine_power_hp,power_mode
MERCEDES-BENZ AMG GT 63 S 4matic+ *FACELIFT* / Panoramadach / Rückfahrkamera / Sitzheizung,114950,29900,639,Benzin
BYD Seal U DM-i Design AWD / Panorama / Head-Up Display / 360 Kamera,39580,20,323,Benzin
BYD Seal U DM-i Boost / Panorama / Head-Up Display / 360 Kamera,32800,20,217,Benzin
BMW M440i xDrive 48V Cabrio INDIVIDUAL 4x4,59900,21099,374,Benzin
BMW X7 xDrive 48V M60i M Sport Pro (CH) INDIVIDUAL,114900,21500,530,Benzin
BMW X3 xDrive 48V 30d M Sport,56900,12849,285,Diesel
BMW 520d xDrive 48V M Sport 4x4,54900,14708,197,Diesel
BMW i7 xDrive 60 (CH) Individual,79900,63900,544,Elektro
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,12505,190,Diesel
CUPRA Terramar 2.0TSI DSG 4D VZ 4x4 PANORAMADACH / HEAD UP DISPLAY,39900,12999,265,Benzin
MERCEDES-BENZ C 300 d AMG Line 4matic / 360°Kamera / Ambientebeleuchtung / Digital Light,43890,43887,265,Diesel
MERCEDES-BENZ A 35 AMG 4matic 8G-DCT / Facelift / Ambiente-Beleuchtung / Rückfahrkamera / Digital Light,41760,21500,306,Benzin
BMW X4 M40d 48V Steptronic / Panorama / Harman/Kardon / Rückfahrkamera,55900,46800,340,Diesel
BMW M135i xDrive / Shadow-Line / Head-Up Display / 360° Kamera,44780,28700,300,Benzin
BMW 540d xDrive Touring / Panorama / 360°Kamera / Bowers&Wilkins,66780,24000,285,Diesel
GENESIS GV70 2.2D Luxury AT8 AWD / 360°Kamera / Massagesitze / Lexicon,49890,19850,201,Diesel
MERCEDES-BENZ CLA 35 AMG 4matic,46880,38780,306,Benzin
BMW M240i Coupé M Sport Pro Steptronic / Abstandsregler / Rückfahrkamera / Lenkradheizung,46480,18500,374,Benzin
MERCEDES-BENZ GLC 200 AMG Line 4matic Coupé / Digital Light / 360°Kamera / Ambiente-Beleuchtung,59980,19950,204,Benzin
MERCEDES-BENZ CLA 220 d AMG Line / Facelift / Rückfahrkamera / Ambientebeleuchtung,40980,29000,190,Diesel
FERRARI Roma 3.9 V8 T Carbon (CH) NOVITEC Wheels,199900,4999,620,Benzin
